airport_code,airport_state,airport_city
LCH,Louisiana,"Lake Charles, LA"
LFT,Louisiana,"Lafayette, LA"
AEX,Louisiana,"Alexandria, LA"
ORH,Massachusetts,"Worcester, MA"
BOS,Massachusetts,"Boston, MA"
HYA,Massachusetts,"Hyannis, MA"
ACK,Massachusetts,"Nantucket, MA"
MVY,Massachusetts,"Martha's Vineyard, MA"
SBY,Maryland,"Salisbury, MD"
HGR,Maryland,"Hagerstown, MD"
BWI,Maryland,"Baltimore, MD"
PQI,Maine,"Presque Isle/Houlton, ME"
BGR,Maine,"Bangor, ME"
PWM,Maine,"Portland, ME"
MQT,Michigan,"Marquette, MI"
MBS,Michigan,"Saginaw/Bay City/Midland, MI"
IMT,Michigan,"Iron Mountain/Kingsfd, MI"
PLN,Michigan,"Pellston, MI"
ESC,Michigan,"Escanaba, MI"
APN,Michigan,"Alpena, MI"
FNT,Michigan,"Flint, MI"
TVC,Michigan,"Traverse City, MI"
DTW,Michigan,"Detroit, MI"
LAN,Michigan,"Lansing, MI"
GRR,Michigan,"Grand Rapids, MI"
AZO,Michigan,"Kalamazoo, MI"
MKG,Michigan,"Muskegon, MI"
CMX,Michigan,"Hancock/Houghton, MI"
CIU,Michigan,"Sault Ste. Marie, MI"
BJI,Minnesota,"Bemidji, MN"
INL,Minnesota,"International Falls, MN"
BRD,Minnesota,"Brainerd, MN"
DLH,Minnesota,"Duluth, MN"
MSP,Minnesota,"Minneapolis, MN"
RST,Minnesota,"Rochester, MN"
HIB,Minnesota,"Hibbing, MN"
STC,Minnesota,"St. Cloud, MN"
JLN,Missouri,"Joplin, MO"
MCI,Missouri,"Kansas City, MO"
STL,Missouri,"St. Louis, MO"
COU,Missouri,"Columbia, MO"
BKG,Missouri,"Branson, MO"
SGF,Missouri,"Springfield, MO"
TBN,Missouri,"Fort Leonard Wood, MO"
CGI,Missouri,"Cape Girardeau, MO"
PIB,Mississippi,"Hattiesburg/Laurel, MS"
MEI,Mississippi,"Meridian, MS"
GPT,Mississippi,"Gulfport/Biloxi, MS"
GTR,Mississippi,"Columbus, MS"
JAN,Mississippi,"Jackson/Vicksburg, MS"
FCA,Montana,"Kalispell, MT"
WYS,Montana,"West Yellowstone, MT"
BIL,Montana,"Billings, MT"
BZN,Montana,"Bozeman, MT"
MSO,Montana,"Missoula, MT"
BTM,Montana,"Butte, MT"
GTF,Montana,"Great Falls, MT"
HLN,Montana,"Helena, MT"
OAJ,North Carolina,"Jacksonville/Camp Lejeune, NC"
EWN,North Carolina,"New Bern/Morehead/Beaufort, NC"
RDU,North Carolina,"Raleigh/Durham, NC"
USA,North Carolina,"Concord, NC"
PGV,North Carolina,"Greenville, NC"
CLT,North Carolina,"Charlotte, NC"
AVL,North Carolina,"Asheville, NC"
GSO,North Carolina,"Greensboro/High Point, NC"
FAY,North Carolina,"Fayetteville, NC"
ILM,North Carolina,"Wilmington, NC"
MOT,North Dakota,"Minot, ND"
XWA,North Dakota,"Williston, ND"
DIK,North Dakota,"Dickinson, ND"
DVL,North Dakota,"Devils Lake, ND"
JMS,North Dakota,"Jamestown, ND"
FAR,North Dakota,"Fargo, ND"
BIS,North Dakota,"Bismarck/Mandan, ND"
GFK,North Dakota,"Grand Forks, ND"
EAR,Nebraska,"Kearney, NE"
OMA,Nebraska,"Omaha, NE"
GRI,Nebraska,"Grand Island, NE"
BFF,Nebraska,"Scottsbluff, NE"
LBF,Nebraska,"North Platte, NE"
LNK,Nebraska,"Lincoln, NE"
PSM,New Hampshire,"Portsmouth, NH"
MHT,New Hampshire,"Manchester, NH"
ACY,New Jersey,"Atlantic City, NJ"
EWR,New Jersey,"Newark, NJ"
TTN,New Jersey,"Trenton, NJ"
HOB,New Mexico,"Hobbs, NM"
SAF,New Mexico,"Santa Fe, NM"
ROW,New Mexico,"Roswell, NM"
ABQ,New Mexico,"Albuquerque, NM"
RNO,Nevada,"Reno, NV"
EKO,Nevada,"Elko, NV"
LAS,Nevada,"Las Vegas, NV"
HPN,New York,"White Plains, NY"
BUF,New York,"Buffalo, NY"
PBG,New York,"Plattsburgh, NY"
ROC,New York,"Rochester, NY"
OGS,New York,"Ogdensburg, NY"
BGM,New York,"Binghamton, NY"
ELM,New York,"Elmira/Corning, NY"
LGA,New York,"New York, NY"
ALB,New York,"Albany, NY"
SWF,New York,"Newburgh/Poughkeepsie, NY"
JFK,New York,"New York, NY"
ART,New York,"Watertown, NY"
ITH,New York,"Ithaca/Cortland, NY"
SYR,New York,"Syracuse, NY"
ISP,New York,"Islip, NY"
IAG,New York,"Niagara Falls, NY"
CMH,Ohio,"Columbus, OH"
CLE,Ohio,"Cleveland, OH"
LCK,Ohio,"Columbus, OH"
CAK,Ohio,"Akron, OH"
TOL,Ohio,"Toledo, OH"
DAY,Ohio,"Dayton, OH"
SWO,Oklahoma,"Stillwater, OK"
OKC,Oklahoma,"Oklahoma City, OK"
LAW,Oklahoma,"Lawton/Fort Sill, OK"
TUL,Oklahoma,"Tulsa, OK"
RDM,Oregon,"Bend/Redmond, OR"
MFR,Oregon,"Medford, OR"
PDX,Oregon,"Portland, OR"
EUG,Oregon,"Eugene, OR"
OTH,Oregon,"North Bend/Coos Bay, OR"
ERI,Pennsylvania,"Erie, PA"
PHL,Pennsylvania,"Philadelphia, PA"
ABE,Pennsylvania,"Allentown/Bethlehem/Easton, PA"
AVP,Pennsylvania,"Scranton/Wilkes-Barre, PA"
JST,Pennsylvania,"Johnstown, PA"
LBE,Pennsylvania,"Latrobe, PA"
MDT,Pennsylvania,"Harrisburg, PA"
SCE,Pennsylvania,"State College, PA"
PIT,Pennsylvania,"Pittsburgh, PA"
PSE,Puerto Rico,"Ponce, PR"
BQN,Puerto Rico,"Aguadilla, PR"
SJU,Puerto Rico,"San Juan, PR"
PVD,Rhode Island,"Providence, RI"
CHS,South Carolina,"Charleston, SC"
CAE,South Carolina,"Columbia, SC"
GSP,South Carolina,"Greer, SC"
HHH,South Carolina,"Hilton Head, SC"
MYR,South Carolina,"Myrtle Beach, SC"
FLO,South Carolina,"Florence, SC"
ATY,South Dakota,"Watertown, SD"
ABR,South Dakota,"Aberdeen, SD"
RAP,South Dakota,"Rapid City, SD"
FSD,South Dakota,"Sioux Falls, SD"
PIR,South Dakota,"Pierre, SD"
TRI,Tennessee,"Bristol/Johnson City/Kingsport, TN"
BNA,Tennessee,"Nashville, TN"
MEM,Tennessee,"Memphis, TN"
TYS,Tennessee,"Knoxville, TN"
CHA,Tennessee,"Chattanooga, TN"
GUM,U.S. Pacific Trust Territories and Possessions,"Guam, TT"
PPG,U.S. Pacific Trust Territories and Possessions,"Pago Pago, TT"
SPN,U.S. Pacific Trust Territories and Possessions,"Saipan, TT"
CRP,Texas,"Corpus Christi, TX"
SJT,Texas,"San Angelo, TX"
GRK,Texas,"Killeen, TX"
BRO,Texas,"Brownsville, TX"
SPS,Texas,"Wichita Falls, TX"
BPT,Texas,"Beaumont/Port Arthur, TX"
CLL,Texas,"College Station/Bryan, TX"
ABI,Texas,"Abilene, TX"
LRD,Texas,"Laredo, TX"
HOU,Texas,"Houston, TX"
HRL,Texas,"Harlingen/San Benito, TX"
LBB,Texas,"Lubbock, TX"
DRT,Texas,"Del Rio, TX"
SAT,Texas,"San Antonio, TX"
AUS,Texas,"Austin, TX"
GGG,Texas,"Longview, TX"
MFE,Texas,"Mission/McAllen/Edinburg, TX"
DAL,Texas,"Dallas, TX"
ELP,Texas,"El Paso, TX"
ACT,Texas,"Waco, TX"
DFW,Texas,"Dallas/Fort Worth, TX"
AMA,Texas,"Amarillo, TX"
TYR,Texas,"Tyler, TX"
MAF,Texas,"Midland/Odessa, TX"
VCT,Texas,"Victoria, TX"
IAH,Texas,"Houston, TX"
OGD,Utah,"Ogden, UT"
VEL,Utah,"Vernal, UT"
SLC,Utah,"Salt Lake City, UT"
SGU,Utah,"St. George, UT"
CDC,Utah,"Cedar City, UT"
PVU,Utah,"Provo, UT"
CNY,Utah,"Moab, UT"
RIC,Virginia,"Richmond, VA"
SHD,Virginia,"Staunton, VA"
ROA,Virginia,"Roanoke, VA"
DCA,Virginia,"Washington, DC"
ORF,Virginia,"Norfolk, VA"
PHF,Virginia,"Newport News/Williamsburg, VA"
CHO,Virginia,"Charlottesville, VA"
IAD,Virginia,"Washington, DC"
LYH,Virginia,"Lynchburg, VA"
STT,U.S. Virgin Islands,"Charlotte Amalie, VI"
STX,U.S. Virgin Islands,"Christiansted, VI"
BTV,Vermont,"Burlington, VT"
GEG,Washington,"Spokane, WA"
PUW,Washington,"Pullman, WA"
BLI,Washington,"Bellingham, WA"
PAE,Washington,"Everett, WA"
EAT,Washington,"Wenatchee, WA"
SEA,Washington,"Seattle, WA"
PSC,Washington,"Pasco/Kennewick/Richland, WA"
ALW,Washington,"Walla Walla, WA"
YKM,Washington,"Yakima, WA"
MSN,Wisconsin,"Madison, WI"
LSE,Wisconsin,"La Crosse, WI"
CWA,Wisconsin,"Mosinee, WI"
MKE,Wisconsin,"Milwaukee, WI"
EAU,Wisconsin,"Eau Claire, WI"
ATW,Wisconsin,"Appleton, WI"
GRB,Wisconsin,"Green Bay, WI"
RHI,Wisconsin,"Rhinelander, WI"
CRW,West Virginia,"Charleston/Dunbar, WV"
LWB,West Virginia,"Lewisburg, WV"
HTS,West Virginia,"Ashland, WV"
CKB,West Virginia,"Clarksburg/Fairmont, WV"
RKS,Wyoming,"Rock Springs, WY"
CYS,Wyoming,"Cheyenne, WY"
LAR,Wyoming,"Laramie, WY"
JAC,Wyoming,"Jackson, WY"
CPR,Wyoming,"Casper, WY"
COD,Wyoming,"Cody, WY"
GCC,Wyoming,"Gillette, WY"
RIW,Wyoming,"Riverton/Lander, WY"
SHR,Wyoming,"Sheridan, WY"
